球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
スライダー,127,44.1%,118.9,18,25,27,36,55.1%,27.3%,0.1,30,3,0,9,4,1
ストレート,108,37.5%,137.7,5,22,23,42,46.3%,11.4%,0.235,17,4,1,2,2,0
チェンジアップ,38,13.2%,119.5,10,1,5,19,42.1%,55.6%,0.111,9,1,0,6,1,0
シュート,15,5.2%,133.6,0,3,1,10,26.7%,0.0%,0.0,1,0,0,0,2,1
