HQS率0.0%,SQS率0.0%,被打率.338,被BABIP.358,被出塁率.372,被長打率.532,K/BB2.20,K/95.21,BB/92.37,HR/90.95,GO/AO0.62,援護率2.45,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.93,61.6%,-7.10,-0.84,-4.73,57,0.0,22,6,0.0,0,0,0,
