防御率2.33,試合25,先発25,救援0,連投(試)0,連投(日)0,勝利10,敗戦7,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.588,150.2,636,2450,16.3,134,9,109,55,4,9,7,0,46,39,1.25,72.0%
