左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
33.3% (7),33.3% (7),33.3% (7),23.8% (5),23.8% (5),23.8% (5),42.9% (9),42.9% (9),42.9% (9)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
50.0% (2),- (0),29.4% (5),0.0% (0),- (0),29.4% (5),50.0% (2),- (0),41.2% (7)
