HQS率-,SQS率-,被打率.182,被BABIP.000,被出塁率.250,被長打率.727,K/BB5.00,K/915.00,BB/93.00,HR/96.00,GO/AO0.33,援護率-,IPR1.50,NHB%33.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
9.10,500.0%,-0.91,-0.11,-1.01,9,1.0,0,0,3.0,2,1,2,
