NOI148.1,GPA.078,RC-0.31,RC27-1.06,XR-0.24,XR27-0.82,RCAA-1.20,XR+-1.14,RCWIN-0.14,XRWIN-0.13,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.00,0.000,-,0.000,0.125,-,33.3%,
