連続項目,フラグ (現状値 / 最高値)
得点,2試合 / 5試合
安打,2試合 / 18試合
無安打,0試合 / 5試合
打点,0試合 / 3試合
本塁打,0試合 / 2試合
出塁,33試合 / 33試合
