球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,663,41.8%,146.4,52,128,141,210,48.4%,16.0%,.318,151,48,5,26,11,4
スライダー,210,13.2%,129.3,17,40,32,90,42.4%,21.3%,.333,33,11,0,3,4,0
カットボール,157,9.9%,136.8,16,23,34,56,46.5%,20.5%,.176,34,6,1,7,4,3
チェンジアップ,130,8.2%,127.6,21,16,15,54,40.0%,35.0%,.212,33,7,0,9,1,0
フォーク,116,7.3%,135.8,27,10,23,39,51.7%,40.3%,.233,30,7,1,14,3,0
カーブ,87,5.5%,116.9,5,16,11,39,36.8%,15.6%,.471,17,8,0,1,1,0
ツーシーム,74,4.7%,138.6,5,16,16,21,50.0%,13.5%,.294,17,5,1,1,2,0
シュート,63,4.0%,145.7,3,12,13,24,44.4%,11.1%,.182,11,2,0,1,1,3
スプリット,51,3.2%,136.8,11,2,10,21,45.1%,39.3%,.231,13,3,0,6,3,1
ナックルカーブ,19,1.2%,124.6,0,5,3,9,42.1%,0.0%,.000,2,0,0,0,0,0
パーム,10,0.6%,114.0,0,2,1,3,30.0%,0.0%,.000,4,0,0,0,0,0
スクリュー,3,0.2%,136.0,0,0,1,2,33.3%,0.0%,-,0,0,0,0,0,0
ワンシーム,3,0.2%,143.0,0,0,0,0,0.0%,0.0%,.667,3,2,0,0,0,0
スローカーブ,1,0.1%,88.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
