打率.284,試合115,打席401,打数348,得点53,安打99,内安11,内安率11.1,２Ｂ21,３Ｂ1,本塁8,HR勝敗4-4-0,塁打146,打点41,三振68
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
31,1,11,4,7,5,4,55.6,2,0,5,.279,.355,.420,.775
