球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,6,54.5%,141.5,1,2,1,1,66.7%,33.3%,.000,2,0,0,1,0,0
カットボール,3,27.3%,-,0,0,0,2,0.0%,0.0%,.000,1,0,0,0,0,0
フォーク,1,9.1%,-,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
ツーシーム,1,9.1%,-,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
