HQS率0.0%,SQS率0.0%,被打率.249,被BABIP.308,被出塁率.312,被長打率.341,K/BB2.42,K/97.02,BB/92.90,HR/90.31,GO/AO1.17,援護率1.73,IPR4.00,NHB%36.1%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.57,81.5%,5.42,0.64,5.49,257,8.0,26,5,36.0,9,13,28,
