NOI0.0,GPA.000,RC-0.03,RC27-0.23,XR-0.02,XR27-0.16,RCAA-0.32,XR+-0.32,RCWIN-0.04,XRWIN-0.04,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.00,0.000,-,0.000,0.000,-,33.3%,
