球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,470,46.5%,147.3,5,129,82,154,46.0%,2.7%,.324,102,33,7,6,11,1
スライダー,110,10.9%,129.9,7,21,17,36,40.9%,13.2%,.250,28,7,0,0,1,0
チェンジアップ,103,10.2%,131.1,7,20,13,38,38.8%,15.6%,.233,30,7,0,5,0,0
フォーク,96,9.5%,136.3,9,8,18,35,36.5%,17.0%,.207,29,6,0,3,1,0
カットボール,64,6.3%,137.3,2,15,14,21,48.4%,7.1%,.167,12,2,0,1,0,0
スプリット,49,4.9%,139.2,6,8,11,16,51.0%,24.0%,.556,9,5,0,1,1,0
カーブ,42,4.2%,117.6,2,10,6,19,42.9%,15.4%,.167,6,1,0,1,0,0
ツーシーム,23,2.3%,143.7,1,6,1,11,34.8%,16.7%,.500,4,2,0,0,1,0
ナックルカーブ,13,1.3%,121.5,0,2,1,8,23.1%,0.0%,.500,2,1,0,0,0,0
シュート,12,1.2%,140.9,1,2,5,2,66.7%,12.5%,.500,2,1,0,0,0,0
シンカー,10,1.0%,137.1,1,2,2,3,50.0%,20.0%,.000,2,0,0,0,0,0
パワーカーブ,9,0.9%,122.3,0,2,2,3,44.4%,0.0%,.000,2,0,0,0,0,0
ワンシーム,3,0.3%,139.0,0,1,1,0,66.7%,0.0%,.000,1,0,0,0,0,0
縦スライダー,2,0.2%,133.5,0,0,0,1,0.0%,0.0%,1.000,1,1,0,0,0,0
スローカーブ,2,0.2%,98.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
高速スライダー,2,0.2%,134.5,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
