HQS率0.0%,SQS率0.0%,被打率.478,被BABIP.500,被出塁率.500,被長打率.826,K/BB2.00,K/94.50,BB/92.25,HR/92.25,GO/AO0.11,援護率5.40,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.74,28.3%,-7.51,-0.87,-6.65,12,0.0,5,3,0.0,0,0,0,
