HQS率0.0%,SQS率0.0%,被打率.167,被BABIP.200,被出塁率.278,被長打率.167,K/BB1.20,K/96.00,BB/95.00,HR/90.00,GO/AO0.33,援護率0.00,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.07,80.0%,1.34,0.16,1.04,27,0.0,10,0,0.0,0,0,0,
