打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.264,70,284,250,23,66,16,0,9,109,37,43,30,5,1,0,3,2,0,3,0.342,0.436,0.778
Visitor,0.248,71,290,278,15,69,6,0,5,90,30,33,10,1,0,0,2,2,1,4,0.272,0.324,0.596
