球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,934,42.4%,147.3,39,206,183,303,45.8%,9.2%,.238,231,55,4,29,15,0
スライダー,339,15.4%,129.9,41,61,30,144,38.9%,30.6%,.260,77,20,1,14,5,1
カットボール,241,10.9%,137.1,15,51,34,80,41.5%,13.6%,.302,63,19,2,3,6,0
チェンジアップ,159,7.2%,128.6,19,18,27,62,40.3%,24.1%,.238,42,10,4,10,1,0
フォーク,155,7.0%,136.9,24,7,32,68,40.6%,30.0%,.114,35,4,0,12,2,0
ツーシーム,120,5.4%,140.8,8,22,12,45,35.0%,15.1%,.265,34,9,2,2,2,0
カーブ,89,4.0%,117.0,6,20,8,48,38.2%,28.6%,.273,11,3,0,4,1,0
スプリット,64,2.9%,137.3,9,5,9,28,35.9%,29.0%,.500,14,7,0,1,1,0
シュート,41,1.9%,144.4,2,9,9,11,48.8%,9.5%,.400,10,4,1,0,0,0
ナックルカーブ,34,1.5%,125.4,3,8,2,14,38.2%,25.0%,.286,7,2,0,0,0,0
シンカー,7,0.3%,132.2,1,2,3,1,85.7%,25.0%,.000,1,0,0,1,0,0
縦スライダー,4,0.2%,125.7,0,1,0,3,25.0%,-%,-,0,0,0,0,1,0
スクリュー,4,0.2%,136.7,0,1,0,2,25.0%,0.0%,1.000,1,1,0,0,0,0
パーム,4,0.2%,111.7,0,0,0,3,0.0%,0.0%,.000,1,0,0,0,0,0
スラーブ,3,0.1%,116.0,1,0,0,2,33.3%,100.0%,-,0,0,0,0,0,0
パワーカーブ,3,0.1%,125.0,0,0,0,3,0.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.0%,99.0,0,0,0,0,0.0%,0.0%,1.000,1,1,0,0,0,0
