アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,146,37.1%,安打,135,74.6%
フライ,172,43.7%,四死球,41,22.7%
空三振,60,15.2%,失策出塁,4,2.2%
見三振,16,4.1%,野選,1,0.6%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
