NOI432.3,GPA.232,RC59.96,RC273.93,XR60.36,XR273.96,RCAA5.40,XR+5.52,RCWIN0.64,XRWIN0.65,BABIP.273
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.53,0.051,14.35,7.55,0.121,37.71,0.203,0.597,6.22,22.6%,
