防御率1.82,試合65,先発0,救援65,連投(試)1,連投(日)1,勝利3,敗戦4,HLD10,Ｓ31,ＨＰ13,ＳＰ34,救勝3,救敗4,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.429,64.1,270,1091,17.0,48,3,85,23,0,9,4,0,17,13,1.10,-
