アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,28,29.2%,安打,29,74.4%
フライ,28,29.2%,四死球,8,20.5%
空三振,33,34.4%,失策出塁,2,5.1%
見三振,5,5.2%,野選,0,0.0%
犠打,2,2.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
