NOI385.7,GPA.206,RC12.05,RC273.29,XR12.33,XR273.36,RCAA-1.24,XR+-1.12,RCWIN-0.14,XRWIN-0.13,BABIP.318
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.18,0.044,19.29,3.55,0.089,62.00,0.185,0.552,2.86,34.8%,
