条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.154,61,52,8,0,0,0,17,7,0,1,1
対左打者,0.302,62,53,16,4,0,1,8,6,0,1,2
