NOI611.1,GPA.308,RC0.70,RC276.34,XR0.68,XR276.16,RCAA0.21,XR+0.19,RCWIN0.02,XRWIN0.02,BABIP1.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.50,0.167,5.00,2.50,0.000,-,0.333,1.000,-,60.0%,
