NOI833.3,GPA.475,RC0.78,RC2721.00,XR0.63,XR2717.01,RCAA0.59,XR+0.44,RCWIN0.07,XRWIN0.05,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.500,-,0.500,2.000,-,0.0%,
