HQS率-,SQS率-,被打率.421,被BABIP.500,被出塁率.500,被長打率.684,K/BB1.00,K/96.75,BB/96.75,HR/90.00,GO/AO1.00,援護率-,IPR0.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.52,45.5%,-4.55,-0.54,-3.68,12,4.0,0,0,4.0,6,0,0,
