HQS率31.3%,SQS率31.3%,被打率.238,被BABIP.261,被出塁率.267,被長打率.314,K/BB6.86,K/94.41,BB/90.64,HR/90.46,GO/AO0.86,援護率3.35,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.88,74.7%,4.57,0.54,1.37,384,0.0,102,38,0.0,0,0,0,
