月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.000,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
5月,.143,4,7,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.143,.143,0.286
6月,.000,4,5,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000,.000,0.0
7月,.500,4,4,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,.500,.500,1.0
8月,.000,3,5,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.000,.000,0.0
9月,.500,5,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,1.0
10月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
