NOI213.3,GPA.112,RC-0.33,RC27-0.37,XR-0.22,XR27-0.25,RCAA-2.90,XR+-2.80,RCWIN-0.34,XRWIN-0.33,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,5.40,0.000,-,0.000,0.182,-,18.5%,
