NOI365.1,GPA.192,RC12.30,RC272.50,XR12.20,XR272.48,RCAA-4.43,XR+-4.61,RCWIN-0.52,XRWIN-0.54,BABIP.280
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.31,0.051,17.60,5.50,0.051,-,0.146,0.472,0.00,23.9%,
