左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
35.0% (7),35.0% (7),35.0% (7),30.0% (6),30.0% (6),30.0% (6),35.0% (7),35.0% (7),35.0% (7)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
100.0% (3),- (0),23.5% (4),0.0% (0),- (0),35.3% (6),0.0% (0),- (0),41.2% (7)
