NOI254.2,GPA.134,RC0.29,RC270.59,XR0.34,XR270.71,RCAA-1.24,XR+-1.19,RCWIN-0.15,XRWIN-0.14,BABIP.222
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.17,0.054,16.00,2.67,0.067,-,0.133,0.308,-,43.8%,
