NOI97.5,GPA.049,RC-2.57,RC27-1.54,XR-2.29,XR27-1.37,RCAA-6.94,XR+-6.69,RCWIN-0.82,XRWIN-0.79,BABIP.048
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.051,23.00,3.07,0.028,-,0.083,0.108,-,37.0%,
