種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,3.91,8,8,0,0,2,0,0,0,0,0,0,48.1,45,2,34,10,4,22,21,1.14,0.246,3.18,-
Nighter,3.99,14,14,0,3,7,0,0,0,0,0,0,76.2,84,6,58,18,3,35,34,1.33,0.277,2.2,-
