防御率3.96,試合22,先発22,救援0,連投(試)0,連投(日)0,勝利3,敗戦9,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.250,125.0,530,2037,16.3,129,8,92,28,0,7,5,0,57,55,1.26,40.9%
