HQS率-,SQS率-,被打率.302,被BABIP.372,被出塁率.362,被長打率.425,K/BB3.57,K/98.77,BB/92.45,HR/91.05,GO/AO1.23,援護率-,IPR1.51,NHB%44.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.36,66.1%,-7.46,-0.86,-8.33,127,7.0,0,0,25.2,17,12,20,
