連続項目,フラグ (現状値 / 最高値)
得点,1試合 / 5試合
安打,2試合 / 16試合
無安打,0試合 / 4試合
打点,1試合 / 3試合
本塁打,1試合 / 3試合
出塁,2試合 / 19試合
