NOI483.2,GPA.265,RC53.86,RC275.31,XR52.34,XR275.16,RCAA16.70,XR+14.98,RCWIN1.97,XRWIN1.76,BABIP.311
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.047,24.44,5.14,0.198,22.75,0.239,0.725,5.05,27.6%,
