HQS率-,SQS率-,被打率.280,被BABIP.636,被出塁率.379,被長打率.280,K/BB4.67,K/919.89,BB/94.26,HR/90.00,GO/AO1.00,援護率-,IPR6.33,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
0.21,90.9%,1.35,0.16,2.14,29,1.0,0,0,6.1,1,0,5,
