左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
24.6% (35),24.6% (35),24.6% (35),21.1% (30),21.1% (30),21.1% (30),54.2% (77),54.2% (77),54.2% (77)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
10.3% (4),0.0% (0),30.7% (31),30.8% (12),0.0% (0),17.8% (18),59.0% (23),100.0% (2),51.5% (52)
