NOI98.8,GPA.052,RC-2.46,RC27-2.08,XR-2.31,XR27-1.95,RCAA-5.41,XR+-5.27,RCWIN-0.64,XRWIN-0.62,BABIP.154
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.21,0.000,-,0.000,0.071,-,45.2%,
