防御率4.87,試合18,先発1,救援17,連投(試)0,連投(日)0,勝利1,敗戦3,HLD4,Ｓ0,ＨＰ5,ＳＰ1,救勝1,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.250,20.1,87,374,18.4,21,4,20,6,0,0,0,0,11,11,1.33,0.0%
