NOI147.2,GPA.073,RC-0.62,RC27-1.20,XR-0.46,XR27-0.89,RCAA-2.14,XR+-1.99,RCWIN-0.25,XRWIN-0.23,BABIP.100
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.058,16.00,3.20,-0.000,-,0.067,0.143,-,37.5%,
