左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
20.0% (2),20.0% (2),20.0% (2),30.0% (3),30.0% (3),30.0% (3),50.0% (5),50.0% (5),50.0% (5)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),22.2% (2),0.0% (0),- (0),33.3% (3),100.0% (1),- (0),44.4% (4)
