NOI404.3,GPA.214,RC18.36,RC273.30,XR17.73,XR273.19,RCAA-1.51,XR+-2.24,RCWIN-0.18,XRWIN-0.26,BABIP.287
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.27,0.050,26.13,6.97,0.077,195.00,0.113,0.507,0.00,18.7%,
