球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,315,40.3%,147.2,23,71,59,93,48.6%,15.2%,.232,82,19,1,13,1,4
スライダー,100,12.8%,128.0,12,21,12,33,45.0%,26.1%,.185,27,5,0,5,0,0
カットボール,89,11.4%,137.0,7,14,17,36,42.7%,17.9%,.313,16,5,0,1,3,1
ツーシーム,59,7.5%,142.4,2,11,13,16,44.1%,6.3%,.389,18,7,0,1,0,0
フォーク,55,7.0%,135.0,8,5,11,19,43.6%,25.8%,.125,16,2,0,4,0,0
カーブ,53,6.8%,117.3,5,15,3,26,43.4%,41.7%,.167,6,1,0,2,0,0
チェンジアップ,42,5.4%,128.5,7,5,8,16,47.6%,33.3%,.571,7,4,0,1,1,0
スプリット,27,3.5%,139.8,2,2,7,7,40.7%,11.1%,.400,10,4,0,1,0,0
シュート,27,3.5%,138.7,1,3,6,9,37.0%,6.7%,.125,8,1,0,0,1,1
シンカー,9,1.2%,132.4,1,2,2,2,55.6%,20.0%,.000,3,0,0,1,0,0
ナックルカーブ,3,0.4%,129.0,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
パーム,2,0.3%,110.5,1,1,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
縦スライダー,1,0.1%,111.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
