HQS率21.4%,SQS率21.4%,被打率.315,被BABIP.346,被出塁率.374,被長打率.398,K/BB1.30,K/94.20,BB/93.22,HR/90.14,GO/AO1.28,援護率2.87,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.26,65.3%,-14.09,-1.63,-10.27,213,0.0,69,22,0.0,0,0,0,
