打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,93,18,0.194,4,27,7,0,1,0.248
2打席目,95,25,0.263,3,23,6,0,0,0.307
3打席目,92,21,0.228,3,27,8,0,0,0.29
4打席目,80,11,0.138,0,26,6,1,0,0.198
5打席目以上,19,2,0.105,0,8,3,0,0,0.227
