アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,86,28.2%,安打,79,70.5%
フライ,106,34.8%,四死球,30,26.8%
空三振,94,30.8%,失策出塁,3,2.7%
見三振,18,5.9%,野選,0,0.0%
犠打,1,0.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
