打率.205,試合107,打席417,打数385,得点40,安打79,内安7,内安率8.9,２Ｂ18,３Ｂ0,本塁11,HR勝敗6-3-0,塁打130,打点33,三振112
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
24,0,6,1,1,2,0,100.0,1,0,13,.208,.262,.338,.600
