NOI374.6,GPA.202,RC30.27,RC272.55,XR31.52,XR272.65,RCAA-10.78,XR+-10.01,RCWIN-1.25,XRWIN-1.16,BABIP.259
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.057,17.38,3.72,0.132,35.00,0.200,0.508,3.38,35.3%,
