球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,589,38.0%,147.4,74,72,131,200,47.0%,23.3%,.203,153,31,2,42,15,2
スライダー,251,16.2%,130.7,63,30,42,74,53.8%,42.9%,.167,66,11,2,24,1,0
フォーク,160,10.3%,136.0,29,11,37,56,48.1%,31.2%,.125,40,5,0,13,1,0
カットボール,131,8.5%,137.8,27,18,31,36,58.0%,35.1%,.308,26,8,3,7,0,0
チェンジアップ,117,7.5%,128.3,32,8,23,35,53.8%,43.2%,.207,29,6,3,10,1,0
ツーシーム,85,5.5%,143.4,8,12,14,32,40.0%,19.5%,.227,22,5,1,3,1,3
カーブ,78,5.0%,117.2,16,18,14,19,61.5%,39.0%,.176,17,3,0,7,2,0
シュート,44,2.8%,141.9,4,4,11,14,43.2%,15.4%,.417,12,5,0,1,2,0
ナックルカーブ,34,2.2%,125.8,5,6,2,17,38.2%,45.5%,.400,5,2,0,1,1,0
縦スライダー,23,1.5%,133.1,6,2,3,7,47.8%,42.9%,.286,7,2,0,2,0,0
スプリット,21,1.4%,140.7,4,2,2,9,38.1%,40.0%,.167,6,1,0,2,0,0
シンカー,13,0.8%,130.2,2,3,4,2,69.2%,25.0%,.000,2,0,0,0,0,1
スローカーブ,3,0.2%,88.7,0,0,1,2,33.3%,0.0%,-,0,0,0,0,0,0
パーム,1,0.1%,120.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
