左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
35.8% (29),35.8% (29),35.8% (29),21.0% (17),21.0% (17),21.0% (17),43.2% (35),43.2% (35),43.2% (35)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
34.8% (8),- (0),36.2% (21),34.8% (8),- (0),15.5% (9),30.4% (7),- (0),48.3% (28)
