NOI346.0,GPA.180,RC6.54,RC272.45,XR6.65,XR272.49,RCAA-2.77,XR+-2.72,RCWIN-0.33,XRWIN-0.32,BABIP.284
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.023,32.67,7.00,0.000,-,0.074,0.417,0.00,17.3%,
