球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,136,37.3%,146.8,7,27,21,47,40.4%,11.3%,.297,37,11,0,3,2,0
スライダー,44,12.1%,129.7,7,7,12,10,59.1%,25.9%,.000,10,0,0,2,0,0
カットボール,43,11.8%,138.4,3,4,14,13,48.8%,11.5%,.200,10,2,0,1,0,0
フォーク,42,11.5%,134.6,5,5,9,16,45.2%,23.8%,.083,12,1,0,5,0,0
ツーシーム,23,6.3%,144.4,1,3,3,12,30.4%,12.5%,.250,4,1,0,0,0,0
チェンジアップ,20,5.5%,127.5,2,4,8,3,70.0%,15.4%,.250,4,1,0,1,0,0
カーブ,16,4.4%,117.4,1,4,3,6,50.0%,16.7%,.333,3,1,0,1,0,0
スプリット,14,3.8%,138.4,0,0,4,4,28.6%,0.0%,.333,6,2,0,0,0,0
シュート,14,3.8%,144.5,0,4,0,6,28.6%,0.0%,.600,5,3,0,1,1,0
シンカー,5,1.4%,125.5,0,1,1,1,40.0%,0.0%,.000,2,0,0,0,0,0
縦スライダー,4,1.1%,129.8,0,0,1,1,25.0%,0.0%,.500,2,1,0,0,0,0
パーム,2,0.5%,128.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
ナックルカーブ,1,0.3%,128.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
スクリュー,1,0.3%,134.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
