アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,18,42.9%,安打,13,65.0%
フライ,13,31.0%,四死球,7,35.0%
空三振,6,14.3%,失策出塁,0,0.0%
見三振,2,4.8%,野選,0,0.0%
犠打,3,7.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
