防御率5.02,試合15,先発0,救援15,連投(試)0,連投(日)0,勝利0,敗戦3,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,14.1,62,232,16.2,13,1,8,4,0,3,0,0,8,8,1.19,-
