球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ツーシーム,73,31.5%,145.7,4,9,15,25,38.4%,10.3%,0.286,21,6,0,1,1,1
ストレート,72,31.0%,147.2,3,11,16,31,41.7%,10.0%,0.273,11,3,0,2,2,1
フォーク,36,15.5%,127.5,6,4,4,15,38.9%,35.3%,0.1,10,1,0,4,1,0
カットボール,28,12.1%,140.9,4,1,8,9,46.4%,22.2%,0.4,5,2,1,0,0,0
カーブ,17,7.3%,120.2,1,4,1,9,35.3%,25.0%,0.333,3,1,0,1,0,1
チェンジアップ,6,2.6%,126.3,1,0,0,4,16.7%,50.0%,0.0,1,0,0,0,0,0
