HQS率-,SQS率-,被打率.255,被BABIP.279,被出塁率.339,被長打率.373,K/BB2.00,K/95.02,BB/92.51,HR/90.63,GO/AO1.38,援護率-,IPR1.79,NHB%40.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.99,64.5%,-2.67,-0.31,-3.16,53,3.1,0,0,14.1,8,6,11,
