左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
54.1% (40),54.1% (40),54.1% (40),21.6% (16),21.6% (16),21.6% (16),24.3% (18),24.3% (18),24.3% (18)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
40.0% (8),100.0% (3),56.9% (29),50.0% (10),0.0% (0),11.8% (6),10.0% (2),0.0% (0),31.4% (16)
