防御率2.19,試合24,先発24,救援0,連投(試)0,連投(日)0,勝利14,敗戦8,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投2,完封0,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.636,160.1,648,2339,14.6,142,15,123,26,0,5,0,0,50,39,1.05,75.0%
