種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,1.95,5,5,0,2,2,0,0,0,0,0,0,32.1,34,3,23,6,1,14,7,1.24,0.26,1.8,-
Nighter,2.25,19,19,0,12,6,0,0,0,0,0,0,128.0,108,12,100,20,4,36,32,1.0,0.228,4.37,-
