HQS率62.5%,SQS率62.5%,被打率.235,被BABIP.270,被出塁率.271,被長打率.369,K/BB4.73,K/96.90,BB/91.46,HR/90.84,GO/AO0.95,援護率3.85,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.03,80.9%,8.20,0.97,13.95,621,0.0,173,74,0.0,0,0,0,
