NOI833.3,GPA.475,RC0.77,RC2720.74,XR0.62,XR2716.79,RCAA0.58,XR+0.43,RCWIN0.07,XRWIN0.05,BABIP1.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.500,-,0.500,2.000,-,50.0%,
